year,gainer,procedure,entity,area,pop,loser,c_a3_g,c_a3_l
1816,United Kingdom,All,0,0,0,0,0,0
1816,United Kingdom,Cession,Nepal,1,0,Nepal,UKG,NEP
1816,Argentina,Independence,Argentina,2093164,1970000,Spain,ARG,SPN
1817,France,Cession,Senegal,7819,100000,United Kingdom,FRN,UKG
1818,United Kingdom,Cession,United States of America,41600,0,United States of America,UKG,USA
1818,United States of America,Cession,Canada,84240,0,United Kingdom,USA,UKG
1818,Chile,Independence,Chile,464568,1656300,Spain,CHL,SPN
1819,United States of America,Cession,Cuba,186488,54477,Spain,USA,SPN
1819,France,Annexation,Madagascar,1,0,Madagascar,FRN,MAG
1819,Colombia,Independence,Colombia,660760,1400000,Spain,COL,SPN
1821,Peru,Independence,Peru,1559891,1929300,Spain,PER,SPN
1821,Dominican Republic,Independence,Dominican Republic,48734,89000,Spain,DOM,SPN
1821,Colombia,Conquest,Venezuela,1082207,800000,Spain,COL,SPN
1821,Portugal,Cession,Uruguay,269810,70000,Spain,POR,SPN
1821,Mexico,Independence,Mexico,1426757,7000000,Spain,MEX,SPN
1822,Colombia,Conquest,Ecuador,550685,600000,Spain,COL,SPN
1824,Netherlands,Cession,Indonesia,25089,93875,United Kingdom,NTH,UKG
1824,United Kingdom,Cession,Straits Settlements,1658,77756,Netherlands,UKG,NTH
1824,Brazil,Independence,Brazil,8259504,5306418,Portugal,BRA,POR
1825,Tunisia,Secession,Tunisia,116348,875000,Turkey,TUN,TUR
1825,Madagascar,Conquest,Madagascar,1,0,France,MAG,FRN
1825,Bolivia,Independence,Bolivia,3016000,1750000,Spain,BOL,SPN
1826,United Kingdom,Conquest,Myanmar,169098,1222998,Myanmar,UKG,MYA
1828,Russia,Cession,Iran,29800,0,Iran,RUS,IRN
1828,Uruguay,Secession,Uruguay,269810,70000,Brazil,URU,BRA
1828,Greece,Secession,Greece,39510,637700,Turkey,GRC,TUR
1829,United Kingdom,Cession,Fernando Po (Bioko),2034,2300,Spain,UKG,SPN
1829,Russia,Cession,Turkey,8580,0,Turkey,RUS,TUR
1830,France,Conquest,Algeria,275317,73200,Turkey,FRN,TUR
1830,Belgium,Secession,Belgium,27407,3533538,Netherlands,BEL,NTH
1832,Colombia,Cession,Ecuador,140976,276249,Ecuador,COL,ECU
1833,United Kingdom,Annexation,Falkland Is.,11961,20,Argentina,UKG,ARG
1836,Texas,Secession,Texas,1010472,38000,Mexico,#N/A,MEX
1839,Belgium,Cession,Luxembourg,4408,176493,Netherlands,BEL,NTH
1839,Belgium,Cession,Netherlands,2416,171572,Netherlands,BEL,NTH
1839,United Kingdom,Annexation,Sikkim,3016,0,Sikkim,UKG,#N/A
1839,Peru,Secession,Peru,1559891,1929300,Bolivia,PER,BOL
1842,United Kingdom,Cession,United States of America,12950,0,United States of America,UKG,USA
1842,United States of America,Cession,Canada,18130,0,United Kingdom,USA,UKG
1842,United Kingdom,Cession,Hong Kong,75,33143,China,UKG,CHN
1843,Spain,Cession,Fernando Po (Bioko),2034,18000,United Kingdom,SPN,UKG
1843,United Kingdom,Conquest,Natal,46620,121068,Natal,UKG,#N/A
1843,United Kingdom,Annexation,Sind,126340,1730323,Sind,UKG,#N/A
1845,United States of America,Annexation,Texas,1010472,35162,Texas,USA,#N/A
1846,United Kingdom,Cession,United States of America,429536,89000,United States of America,UKG,USA
1846,United States of America,Cession,Canada,739652,13323,United Kingdom,USA,UKG
1846,Austria-Hungary,Annexation,Cracow,1158,141202,Cracow,AUH,#N/A
1847,Tuscany,Annexation,Lucca,1127,168198,Lucca,TUS,#N/A
1847,United Kingdom,Cession,Labuan I.,91,1385,Brunei,UKG,BRU
1848,United States of America,Cession,Mexico,1370153,295574,Mexico,USA,MEX
1849,Germany,Unification,Hohenzollern Hechingen,1173,65574,Hohenzollern Hechingen,GMY,#N/A
1849,United Kingdom,Cession,Kashmir,259000,3000000,Kashmir,UKG,#N/A
1850,United Kingdom,Cession,Ghana,40,40000,Denmark,UKG,DEN
1851,Brazil,Cession,Uruguay,104000,0,Uruguay,BRA,URU
1851,Netherlands,Cession,Indonesia,1,0,Portugal,NTH,POR
1851,United Kingdom,Annexation,Aden,8,0,Aden,UKG,#N/A
1852,Transvaal,Independence,Transvaal,286065,300000,United Kingdom,#N/A,UKG
1852,United Kingdom,Conquest,Myanmar,83657,870180,Myanmar,UKG,MYA
1853,United States of America,Cession,Mexico,76768,96000,Mexico,USA,MEX
1854,Orange Free State,Independence,Orange Free State,129153,245000,United Kingdom,#N/A,UKG
1854,United Kingdom,Cession,Oman,73,350000,Oman,UKG,OMA
1855,Egypt,Secession,Egypt,1021081,600000,Turkey,EGY,TUR
1856,Turkey,Cession,Russia,18557,0,Russia,TUR,RUS
1856,Turkey,Cession,Russia,12264,0,Russia,TUR,RUS
1858,Russia,Cession,China,282473,40000,China,RUS,CHN
1859,Brazil,Cession,Venezuela,156000,0,Venezuela,BRA,VEN
1859,Honduras,Cession,Honduras,33701,0,United Kingdom,HON,UKG
1859,Portugal,Cession,East Timor,18989,850300,Netherlands,POR,NTH
1859,Netherlands,Cession,Indonesia,15850,1057800,Portugal,NTH,POR
1859,Italy,Cession,Austria-Hungary,21595,3009505,Austria-Hungary,ITA,AUH
1860,Nicaragua,Cession,Nicaragua,21367,0,United Kingdom,NIC,UKG
1860,France,Cession,Italy,14778,0,Italy,FRN,ITA
1860,Italy,Unification,Papal States,41445,3124668,Papal States,ITA,PAP
1860,Italy,Unification,Two Sicilies,11950,8703130,Two Sicilies,ITA,SIC
1860,Italy,Unification,Modena,6031,598996,Modena,ITA,MOD
1860,Italy,Unification,Parma,6221,495840,Parma,ITA,PMA
1860,Italy,Unification,Tuscany,22163,1783279,Tuscany,ITA,TUS
1860,Spain,Annexation,Ifni,1505,0,Morocco,SPN,MOR
1860,Russia,Cession,China,234000,0,China,RUS,CHN
1860,United Kingdom,Cession,Hong Kong,6,0,China,UKG,CHN
1861,Spain,Annexation,Dominican Republic,48734,200000,Dominican Republic,SPN,DOM
1861,France,Annexation,Monaco,2,0,Monaco,FRN,MNC
