year,gainer,procedure,entity,area,pop,loser
1816,United Kingdom,All,0,0,0,0
1816,United Kingdom,Cession,Nepal,1,0,Nepal
1816,Argentina,Independence,Argentina,2093164,1970000,Spain
1817,France,Cession,Senegal,7819,100000,United Kingdom
1818,United Kingdom,Cession,United States of America,41600,0,United States of America
1818,United States of America,Cession,Canada,84240,0,United Kingdom
1818,Chile,Independence,Chile,464568,1656300,Spain
1819,United States of America,Cession,Cuba,186488,54477,Spain
1819,France,Annexation,Madagascar,1,0,Madagascar
1819,Colombia,Independence,Colombia,660760,1400000,Spain
1821,Peru,Independence,Peru,1559891,1929300,Spain
1821,Dominican Republic,Independence,Dominican Republic,48734,89000,Spain
1821,Colombia,Conquest,Venezuela,1082207,800000,Spain
1821,Portugal,Cession,Uruguay,269810,70000,Spain
1821,Mexico,Independence,Mexico,1426757,7000000,Spain
1822,Colombia,Conquest,Ecuador,550685,600000,Spain
1824,Netherlands,Cession,Indonesia,25089,93875,United Kingdom
1824,United Kingdom,Cession,Straits Settlements,1658,77756,Netherlands
1824,Brazil,Independence,Brazil,8259504,5306418,Portugal
1825,Tunisia,Secession,Tunisia,116348,875000,Turkey
1825,Madagascar,Conquest,Madagascar,1,0,France
1825,Bolivia,Independence,Bolivia,3016000,1750000,Spain
1826,United Kingdom,Conquest,Myanmar,169098,1222998,Myanmar
1828,Russia,Cession,Iran,29800,0,Iran
1828,Uruguay,Secession,Uruguay,269810,70000,Brazil
1828,Greece,Secession,Greece,39510,637700,Turkey
1829,United Kingdom,Cession,Fernando Po (Bioko),2034,2300,Spain
1829,Russia,Cession,Turkey,8580,0,Turkey
1830,France,Conquest,Algeria,275317,73200,Turkey
1830,Belgium,Secession,Belgium,27407,3533538,Netherlands
1832,Colombia,Cession,Ecuador,140976,276249,Ecuador
1833,United Kingdom,Annexation,Falkland Is.,11961,20,Argentina
1836,Texas,Secession,Texas,1010472,38000,Mexico
1839,Belgium,Cession,Luxembourg,4408,176493,Netherlands
1839,Belgium,Cession,Netherlands,2416,171572,Netherlands
1839,United Kingdom,Annexation,Sikkim,3016,0,Sikkim
1839,Peru,Secession,Peru,1559891,1929300,Bolivia
1842,United Kingdom,Cession,United States of America,12950,0,United States of America
1842,United States of America,Cession,Canada,18130,0,United Kingdom
1842,United Kingdom,Cession,Hong Kong,75,33143,China
1843,Spain,Cession,Fernando Po (Bioko),2034,18000,United Kingdom
1843,United Kingdom,Conquest,Natal,46620,121068,Natal
1843,United Kingdom,Annexation,Sind,126340,1730323,Sind
1845,United States of America,Annexation,Texas,1010472,35162,Texas
1846,United Kingdom,Cession,United States of America,429536,89000,United States of America
1846,United States of America,Cession,Canada,739652,13323,United Kingdom
1846,Austria-Hungary,Annexation,Cracow,1158,141202,Cracow
1847,Tuscany,Annexation,Lucca,1127,168198,Lucca
1847,United Kingdom,Cession,Labuan I.,91,1385,Brunei
1848,United States of America,Cession,Mexico,1370153,295574,Mexico
1849,Germany,Unification,Hohenzollern Hechingen,1173,65574,Hohenzollern Hechingen
1849,United Kingdom,Cession,Kashmir,259000,3000000,Kashmir
1850,United Kingdom,Cession,Ghana,40,40000,Denmark
1851,Brazil,Cession,Uruguay,104000,0,Uruguay
1851,Netherlands,Cession,Indonesia,1,0,Portugal
1851,United Kingdom,Annexation,Aden,8,0,Aden
1852,Transvaal,Independence,Transvaal,286065,300000,United Kingdom
1852,United Kingdom,Conquest,Myanmar,83657,870180,Myanmar
1853,United States of America,Cession,Mexico,76768,96000,Mexico
1854,Orange Free State,Independence,Orange Free State,129153,245000,United Kingdom
1854,United Kingdom,Cession,Oman,73,350000,Oman
1855,Egypt,Secession,Egypt,1021081,600000,Turkey
1856,Turkey,Cession,Russia,18557,0,Russia
1856,Turkey,Cession,Russia,12264,0,Russia
1858,Russia,Cession,China,282473,40000,China
1859,Brazil,Cession,Venezuela,156000,0,Venezuela
1859,Honduras,Cession,Honduras,33701,0,United Kingdom
1859,Portugal,Cession,East Timor,18989,850300,Netherlands
1859,Netherlands,Cession,Indonesia,15850,1057800,Portugal
1859,Italy,Cession,Austria-Hungary,21595,3009505,Austria-Hungary
1860,Nicaragua,Cession,Nicaragua,21367,0,United Kingdom
1860,France,Cession,Italy,14778,0,Italy
1860,Italy,Unification,Papal States,41445,3124668,Papal States
1860,Italy,Unification,Two Sicilies,11950,8703130,Two Sicilies
1860,Italy,Unification,Modena,6031,598996,Modena
1860,Italy,Unification,Parma,6221,495840,Parma
1860,Italy,Unification,Tuscany,22163,1783279,Tuscany
1860,Spain,Annexation,Ifni,1505,0,Morocco
1860,Russia,Cession,China,234000,0,China
1860,United Kingdom,Cession,Hong Kong,6,0,China
1861,Spain,Annexation,Dominican Republic,48734,200000,Dominican Republic
1861,France,Annexation,Monaco,2,0,Monaco
1862,United Kingdom,Annexation,Bahrain,598,0,Bahrain
1862,France,Cession,Cochin China,22380,502116,Vietnam
1863,United States of America,Annexation,Honduras,5,0,Honduras
1863,France,Annexation,Cambodia,83861,1000000,Cambodia
1864,Greece,Cession,Slovenia,2608,234123,United Kingdom
1864,Germany,Cession,Denmark,9194,409907,Denmark
1864,Austria-Hungary,Cession,Denmark,8534,544419,Denmark
1864,Germany,Cession,Denmark,1046,50147,Denmark
1865,United Kingdom,Annexation,Bhutan,8889,0,Bhutan
1865,Dominican Republic,Independence,Dominican Republic,48734,200000,Spain
1866,Chile,Cession,Bolivia,42896,0,Bolivia
1866,Germany,Conquest,Hanover,38474,1923492,Hanover
1866,Germany,Annexation,Frankfurt,101,87518,Frankfurt
1866,Germany,Annexation,Nassau,4709,457571,Nassau
1866,Germany,Annexation,Hesse Electoral,9586,745063,Hesse Electoral
1866,Italy,Cession,Austria-Hungary,25145,2458989,Austria-Hungary
1866,Germany,Conquest,Austria-Hungary,8537,544419,Austria-Hungary
1867,Brazil,Cession,Bolivia,162500,0,Bolivia
1867,Thailand,Cession,Cambodia,35641,0,France
1867,Germany,Unification,Anhalt Dessau,2383,181824,Anhalt Dessau
1867,Germany,Unification,Brunswick,3691,282400,Brunswick
1867,Germany,Unification,Bremen,192,98575,Bremen
1867,Germany,Unification,Hamburg,352,229941,Hamburg
1867,Germany,Unification,Lippe,1577,139287,Lippe
1867,Germany,Unification,Mecklenburg Strelitz,2725,99060,Mecklenburg Strelitz
1867,Germany,Unification,Oldenburg,6291,295242,Oldenburg
1867,Germany,Unification,Saxe Weimar,9407,742907,Saxe Weimar
1867,Germany,Unification,Schwartzburg Sonderhausen,1121,58604,Schwartzburg Sonderhausen
1867,Germany,Unification,Saxony,14939,2337192,Saxony
